to	from	Notes
engage for change	Outreach	
Cambridge Zero	Carbon/Energy	
Ethical Network	Outreach	
Cambridge Hub	Outreach	
Ethical Network	Cambridge Hub	
CUSU Ethical Affairs	Outreach	
Climate and Sustainability Forum	Outreach	
UoC Sustainability Team	Carbon/Energy	
Living Laboratory for Sustainability	Outreach	
Living Laboratory for Sustainability	The Cambridge Green Challenge	
Student Switch-Off	Outreach	
Cambridge Carbon Footprint	Carbon/Energy	
Cambridge Carbon Footprint	Outreach	
Positive Investment Cambridge	Carbon/Energy	
CU Energy Network	Carbon/Energy	
CU Energy Network	Societies	
CU Environmental Consulting Society	Carbon/Energy	
Green Impact Cambridge	Outreach	
Transition Cambridge	Carbon/Energy	
CU Marine Conservation Society	Nature/Biodiversity	
CU Wildlife Conservation Trust	Nature/Biodiversity	
CU Nature Society	Nature/Biodiversity	
CU Vegan Society	Food	
Cambridge Sustainable Food (CSF)	Food	
Foodcycle	Food	
CU Foodbank Society	Food	
Cambridge Organic Food Company	Food	
The Cambridge Green Challenge	Outreach	
Banking Environment Initiative	Finance	
Science and Policy Exchange	Development	
Science and Policy Exchange	Societies	
Cambridge Development Initiative	Development	
Cambridge Conservation Forum	Nature/Biodiversity	
Cambridge Conservation Initiative	Nature/Biodiversity	
Cambridge food hub	Food	
Edible Garden	Nature/Biodiversity	
Cam Valley forum	Nature/Biodiversity	
Cambridge Past Present and Future	Nature/Biodiversity	
Environmental Improvement Programme	Nature/Biodiversity	
Cambridge Conservation Volunteers	Nature/Biodiversity	
CambridgeEnvironmentStrategy	Development	
Cambridge Institute for Sustainability Leadership	Development	
louderthanthestorm	Outreach	
cambridgedoughnut	Development	
Cambridge Carbon Literacy	Carbon/Energy	
Cambridge Carbon Literacy	Cambridge Hub	
Green Society of Wolfson College	Outreach	
Built Environment	Infrastructure	
Built Environment	Programmes	
Sustainability and Conservation Interdisciplinary Research Hub	Nature/Biodiversity	
cambridgecarbonmap	Carbon/Energy	
#Cambridge network	Nature/Biodiversity	
#Cambridge network	Carbon/Energy	
#Cambridge network	Food	
#Cambridge network	Outreach	
#Cambridge network	Finance	
#Cambridge network	Reuse and recycle	
#Cambridge network	Development	
#Cambridge network	Infrastructure	
#Cambridge network	Travel	
#Cambridge network	Politics	
Reuse and recycle	cambridgereuse	
Reuse and recycle	circularcambridge	
Food	SCOOP Cambridge	
Reuse and recycle	Warp It	
Travel	Greater Cambridge Greenways	
Research	Cambridge Zero	
Research	UoC Sustainability Team	
Research	Living Laboratory for Sustainability	
Finance	Positive Investment Cambridge	
Research	CU Energy Network	
Research	Science and Policy Exchange	
Research	Cambridge Development Initiative	
Research	Sustainability and Conservation Interdisciplinary Research Hub	
Research	cambridgecarbonmap	
Collegial	UoC	
Programmes	UoC	
Collegial	Wolfson College	
Wolfson College	Green Society of Wolfson College	
Collegial	Clare College	
Clare College	Clare Goes Green	
Collegial	Trinity College	
Trinity College	Isaac Newnton Trust	
Isaac Newnton Trust	Cambridge Zero	
Finance	Isaac Newnton Trust	
UoC Sustainability Team	The Cambridge Green Challenge	The Cambridge Green Challenge is run by the Sustainability Team
Outreach	XR Cambridge	
Cambridge Zero	Living Laboratory for Sustainability	The Living Lab is part of Cambridge Zero
Outreach	Clare Goes Green	
Cambridge Hub	engage for change	
Cambridge Hub	Edible Garden	
Cambridge Zero	engage for change	    Engage for Change is proudly sponsored and delivered in partnership with the University of Cambridge, namely with Cambridge Zero and Environment & Energy.
UoC Sustainability Team	engage for change	    Engage for Change is proudly sponsored and delivered in partnership with the University of Cambridge, namely with Cambridge Zero and Environment & Energy [latter recently renamed Sustainability Team].
Research	cambridgecarbonmap	
Research	open-seneca	
Research	Winton Programme for the Physics of Sustainability	
Research	camemergency	
Research	Crop Science Centre	
Research	CambPlants Hub	
The Wildlife Trust BCN	Nature/Biodiversity	
CoFarm Cambridge	Food	
Cambridge Global Food Security	Food	
Cambridge Global Food Security	Research	
Centre for Industrial Sustainability	Research	
Cambridge Conservation Internship Scheme	Research	
Cambridge Infrastructure Resilience Group	Research	
Cambridge Infrastructure Resilience Group	Infrastructure	
Centre for Climate Repair	Research	
Centre for Climate Repair	Interdisciplinary centres	
Centre for Climate Repair	Cambridge Zero	Collaboration
climate-science	Cambridge Zero	
Bennett Institute for Public Policy	Research	
Centre for Science and Policy	Research	
Centre for Science and Policy	Policy	
Centre for Science and Policy	Interdisciplinary centres	
Bennett Institute for Public Policy	Policy	
Energy Policy Research Group	Policy	
Science and Policy Exchange	Policy	
Policy	Politics	
Use Less Group	Research	
Department of Engineering	Use Less Group	
Cambridge city council	Politics	
Climate Change Strategy consultation	Cambridge city council	
Greater Cambridge Local Plan	Politics	
Cambridge Ahead	Politics	Infrastructure	
Newnham Environmental Justice Society	Outreach	
AI for the study of Environmental Risk	Research	
Advanced Nanotube Application and Manufacturing Initiative	Research	
Cambridge Centre for Climate Science	Research	
Cambridge Institute for Public Health	Research	
Cambridge Judge Business School	Research	
CamBridgeSens	Research	
Carbon Capture, Storage and Use	Research	
Centre for Alternative Finance	Research	
Centre for Alternative Finance	Finance	
Centre for Carbon Reduction in Chemical Technology	Research	
Centre for Diet and Activity Research	Research	
Centre for Digital Built Britain	Research	
Centre for Digital Built Britain	Interdisciplinary centres	
Centre for Environment, Energy and Natural Resource Governance	Research	
Centre for Gender Studies	Research	
Centre for Industrial Sustainability	Research	
Centre for Natural Material Innovation	Research	
Centre for Risk Studies	Research	
Centre for Social Innovation	Research	
##Centre for Sustainable Development	Research	
Centre for Sustainable Road Freight	Research	
Centre for the Study of Existential Risk	Research	
Centre for the Study of Global Human Movement	Research	
Centre of Advanced Materials for Integrated Energy Systems	Research	
Circular Economy Centre	Research	
Climate Change and Earth-Ocean-Atmosphere Systems	Research	
Combustion Research Group	Research	
Conservation Research Institute	Research	
Creative Circular Plastics Centre	Research	
Creative Circular Plastics Centre	Energy Transitions@Cambridge	
Energy Efficient Cities Initiative	Research	
Energy Transitions@Cambridge	Research	
Energy Transitions@Cambridge	Carbon Capture, Storage and Use	
Energy Transitions@Cambridge	Centre of Advanced Materials for Integrated Energy Systems	
Energy Policy Research Group	Research	
Mechanics, Materials and Design	Research	
Nuclear Energy Centre	Research	
Cambridge Institute for Public Health	Research	
Real Estate Research Centre	Interdisciplinary centres	
Resilient Materials for Life	Research	
Resource Efficiency Collective	Societies	
Social Decision-Making Lab	Research	
Sustainable Design Group	Research	
Department of Engineering	Research	
Whittle Laboratory	Research	
#AI for the study of Environmental Risk	Departmental	
Advanced Nanotube Application and Manufacturing Initiative	Department of Engineering	
