"moved?"	"Id"	"Node"	"Tag"	"Category"	"URL"	"Importance/size"	"Keep bool"
NA	1	"Outreach"	"Outreach"	"Outreach"	NA	2	FALSE
NA	2	"engage for change"	"Outreach"	"Outreach and additional training"	"https://www.cambridgehub.org/activities/engage-for-change"	1	TRUE
NA	3	"Ethical Network"	"Outreach"	"Community"	"https://www.cambridgehub.org/activities/ethical-network"	1	TRUE
NA	4	"Cambridge Hub"	"Outreach"	"Outreach and additional training"	"https://www.cambridgehub.org/"	1	TRUE
NA	5	"CUSU Ethical Affairs"	"Outreach"	"Student society"	"https://www.cambridgesu.co.uk/organisation/6076/"	1	TRUE
NA	6	"Climate and Sustainability Forum"	"Outreach"	"Event"	"https://www.facebook.com/CambridgeClimateForum/"	1	TRUE
NA	7	"Living Laboratory for Sustainability"	"Research"	"Training/course"	"https://www.environment.admin.cam.ac.uk/living-lab"	1	TRUE
NA	8	"Student Switch-Off"	"Outreach"	NA	"http://studentswitchoff.org/unis/cambridge/"	1	FALSE
NA	9	"Green Impact Cambridge"	"Outreach"	"Outreach"	"https://www.environment.admin.cam.ac.uk/green-impact"	1	TRUE
NA	10	"The Cambridge Green Challenge"	"Outreach"	"Outreach"	"https://www.environment.admin.cam.ac.uk/cambridge-green-challenge"	1	TRUE
NA	11	"Green Society of Wolfson College"	"Outreach"	"Student society"	"https://www.wolfson.cam.ac.uk/current-students/societies/green-society-wolfson-college"	1	TRUE
NA	12	"Collegial"	"Outreach"	NA	NA	2	FALSE
NA	13	"Societies"	"Outreach"	NA	NA	2	FALSE
NA	14	"Clare Goes Green"	"Outreach"	"Student society"	"http://ucs.clare.cam.ac.uk/societies/clare-goes-green/"	1	TRUE
NA	15	"Clare College"	"Outreach"	"College"	NA	1	FALSE
NA	16	"Newnham College"	"Outreach"	"College"	NA	1	FALSE
NA	17	"Hughes Hall College"	"Outreach"	"College"	NA	1	FALSE
NA	18	"Hughes Hall Centre for Climate Change Engagement"	"Outreach"	NA	"https://www.hughes.cam.ac.uk/chapter-zero-launch/"	1	FALSE
NA	19	"Wolfson College"	"Outreach"	"College"	NA	1	FALSE
NA	20	"Trinity College"	"Outreach"	"College"	NA	1	FALSE
NA	22	"Newnham Environmental Justice Society"	"Outreach"	"Student society"	"https://www.facebook.com/NewnhamEnvironmentalJustice/"	1	TRUE
NA	23	"Cambridgeshire climate emergency"	"Outreach"	NA	"http://camemergency.org/"	1	FALSE
NA	24	"Healthy Planet Cambridge"	"Outreach"	"Student society"	"https://www.cambridgesu.co.uk/organisation/healthyplanetcam/"	1	TRUE
NA	25	"Shaping Horizons"	"Outreach"	NA	"https://www.shapinghorizons.org/"	1	FALSE
NA	26	"Zero Carbon Cambridge"	"Carbon"	"Outreach and additional training"	"https://zerocarbonsoc.soc.srcf.net/"	2	TRUE
NA	27	"Cambridge Environmental Education Society"	"Outreach"	"Outreach and additional training"	"https://www.facebook.com/cambridgeenvironmentaleducation"	1	TRUE
NA	28	"Cambridge Carbon Literacy Training"	"Outreach"	"Outreach and additional training"	"https://www.cambridgehub.org/activities/carbon-literacy"	1	TRUE
NA	29	"Christ's Climate Justice Society"	"Outreach"	"Student society"	"https://www.facebook.com/Christs-Climate-Justice-Society-2224082597868576/?ref=page_internal"	1	TRUE
NA	30	"Christ's College"	"Outreach"	"College"	NA	1	FALSE
NA	31	"Sir David Mackay"	"Outreach"	NA	NA	1	FALSE
NA	32	"Darwin College"	"Outreach"	"College"	NA	1	FALSE
NA	33	"Homerton College Environmental Society"	"Outreach"	"Student society"	"https://www.facebook.com/HomertonEnvSoc/"	1	TRUE
NA	34	"Homerton College"	"Outreach"	"College"	NA	1	FALSE
NA	35	"King's College"	"Outreach"	"College"	NA	1	FALSE
NA	36	"KCL Environment Society - EcoSoc"	"Outreach"	NA	"https://www.facebook.com/KCLecosoc/"	1	FALSE
NA	37	"Green at Queen's"	"Outreach"	"Student society"	"https://en-gb.facebook.com/greenQUB/"	1	NA
NA	38	"Queens' College"	"Outreach"	"College"	NA	1	FALSE
NA	39	"Carbon/Energy"	"Carbon"	NA	NA	2	FALSE
NA	40	"Cambridge Zero"	"Carbon"	NA	"https://www.zero.cam.ac.uk/"	1	FALSE
NA	41	"UoC Sustainability Team"	"Carbon"	"University team"	"https://www.environment.admin.cam.ac.uk/"	1	TRUE
"copied over anyway"	43	"Positive Investment Cambridge"	"Carbon"	NA	"http://positiveinvest.org/"	1	FALSE
NA	44	"CU Energy Network (CUEN)"	"Carbon"	"Student society"	"http://www.cuen.org.uk/"	1	TRUE
NA	45	"CU Environmental Consulting Society"	"Carbon"	"Student society"	"https://www.cusu.co.uk/societies/directory/cuecs/"	1	TRUE
NA	47	"Cambridge Carbon Literacy"	"Carbon"	NA	"https://www.cambridgehub.org/activities/carbon-literacy"	1	FALSE
NA	48	"cambridgecarbonmap"	"Carbon"	"Resource"	"https://cambridgecarbonmap.org/"	1	TRUE
NA	49	"energy@cam"	"Carbon"	"Research center"	"https://www.energy.cam.ac.uk/"	1	TRUE
NA	50	"Divestment"	"Carbon"	NA	NA	1	FALSE
NA	51	"Food"	"Food"	NA	NA	2	FALSE
NA	52	"CU Vegan Society"	"Food"	"Student society"	"https://www.facebook.com/camvegansoc/"	1	TRUE
NA	53	"Cambridge Sustainable Food (CSF)"	"Food"	NA	"https://cambridgesustainablefood.org/"	1	FALSE
NA	54	"Foodcycle"	"Food"	NA	"https://www.foodcycle.org.uk/get-involved/chris-king-photography_foodcycle-cambridge-17/"	1	FALSE
NA	55	"CU Foodbank Society"	"Food"	"Student society"	"https://www.facebook.com/CUFoodbankSociety/"	1	TRUE
NA	56	"SCOOP Cambridge"	"Food"	"Student society"	"https://www.facebook.com/scoopcambridge/"	1	TRUE
NA	57	"Annual Food Agenda"	"Food"	"Event"	"http://annualfoodagenda.com/about/"	1	FALSE
NA	58	"Cambridge Food Security Forum"	"Food"	"Event"	"https://www.globalfood.cam.ac.uk/students/student-forum"	1	TRUE
NA	59	"Nature/Biodiversity"	"Nature/Biodiversity"	NA	NA	2	FALSE
NA	60	"CU Marine Conservation Society"	"Nature/Biodiversity"	"Student society"	"https://www.cambridgesu.co.uk/organisation/9231/"	1	TRUE
NA	61	"CU Wildlife Conservation Trust"	"Nature/Biodiversity"	"Student society"	"https://www.cambridgesu.co.uk/organisation/10401/"	1	TRUE
NA	62	"CU Nature Society"	"Nature/Biodiversity"	"Student society"	"https://www.cambridgesu.co.uk/organisation/cunaturesociety/"	1	TRUE
NA	63	"Cambridge Conservation Forum"	"Nature/Biodiversity"	"Outreach and additional training"	"https://www.cambridgeconservationforum.org.uk/"	1	TRUE
NA	64	"Cambridge Conservation Initiative"	"Nature/Biodiversity"	"Outreach and additional training"	"https://www.cambridgeconservation.org/"	1	TRUE
NA	65	"Edible Garden"	"Nature/Biodiversity"	"Community"	"https://www.cambridgehub.org/activities/edible-garden"	1	TRUE
NA	66	"Environmental Improvement Programme"	"Nature/Biodiversity"	NA	"https://www.cambridge.gov.uk/environmental-improvement-programme"	1	FALSE
NA	67	"Cambridge Conservation Volunteers"	"Nature/Biodiversity"	NA	"https://www.ccv.org.uk/"	1	FALSE
NA	68	"Sustainability and Conservation Interdisciplinary Research Hub"	"Nature/Biodiversity"	"Student society"	"https://www.wolfson.cam.ac.uk/interdisciplinary-research-hubs/sustainability-conservation-interdisciplinary-research-hub"	1	TRUE
NA	69	"Finance"	"Finance"	NA	NA	2	FALSE
NA	70	"Banking Environment Initiative"	"Finance"	"Finance, development and innovation"	"https://www.cisl.cam.ac.uk/business-action/sustainable-finance/banking-environment-initiative"	1	TRUE
NA	71	"Isaac Newton Trust"	"Finance"	"Finance, development and innovation"	"https://www.newtontrust.cam.ac.uk/"	1	TRUE
NA	72	"Science and Policy Exchange"	"Development"	"Finance, development and innovation"	"http://www.cuspe.org/"	1	TRUE
NA	73	"CambridgeEnvironmentStrategy"	"Development"	NA	"https://www.environment.admin.cam.ac.uk/policy"	1	FALSE
NA	74	"Cambridge Institute for Sustainability Leadership"	"Development"	"Finance, development and innovation"	"https://www.cisl.cam.ac.uk/"	1	TRUE
NA	75	"Development"	"Development"	NA	NA	2	FALSE
NA	76	"Impact Through Innovation Cambridge"	"Development"	"Finance, development and innovation"	"https://cambridge.iticam.org/"	1	TRUE
NA	77	"cambridgereuse"	"Recycling"	NA	"http://www.cambridgereuse.org.uk/"	1	FALSE
NA	78	"Warp It"	"Recycling"	"Reduce, Reuse, and Recycle"	"https://www.warp-it.co.uk/
https://www.warp-it.co.uk/company/cambridgeuni"	1	TRUE
NA	79	"Reuse and recycle"	"Recycling"	NA	NA	2	FALSE
NA	80	"Individual Action"	"Research"	NA	NA	2	FALSE
NA	81	"Travel"	"Travel"	NA	NA	2	FALSE
