"id","label","url"
"1","Outreach","Outreach",""
"2","engage for change","engage for change","https://www.cambridgehub.org/activities/engage-for-change"
"3","Ethical Network","Ethical Network","https://www.cambridgehub.org/activities/ethical-network"
"4","Cambridge Hub","Cambridge Hub","https://www.cambridgehub.org/"
"5","CUSU Ethical Affairs","CUSU Ethical Affairs","https://www.cusu.co.uk/about/cusu-campaigns/ethical-affairs/"
"6","Climate and Sustainability Forum","Climate and Sustainability Forum","https://www.facebook.com/CambridgeClimateForum/"
"7","Living Laboratory for Sustainability","Living Laboratory for Sustainability","https://www.environment.admin.cam.ac.uk/living-lab"
"8","Student Switch-Off","Student Switch-Off","http://studentswitchoff.org/unis/cambridge/"
"9","Green Impact Cambridge","Green Impact Cambridge","https://www.environment.admin.cam.ac.uk/green-impact"
"10","The Cambridge Green Challenge","The Cambridge Green Challenge","https://www.environment.admin.cam.ac.uk/cambridge-green-challenge"
"11","Green Society of Wolfson College","Green Society of Wolfson College","https://www.wolfson.cam.ac.uk/current-students/societies/green-society-wolfson-college"
"12","Collegial","Collegial",""
"13","Societies","Societies",""
"14","Clare Goes Green","Clare Goes Green","http://ucs.clare.cam.ac.uk/societies/clare-goes-green/"
"15","Clare College","Clare College",""
"16","Newnham College","Newnham College",""
"17","Hughes Hall College","Hughes Hall College",""
"18","Hughes Hall Centre for Climate Change Engagement","Hughes Hall Centre for Climate Change Engagement","https://www.hughes.cam.ac.uk/chapter-zero-launch/"
"19","Wolfson College","Wolfson College",""
"20","Trinity College","Trinity College",""
"21","XR Cambridge","XR Cambridge","https://xrcambridge.org/"
"22","Newnham Environmental Justice Society","Newnham Environmental Justice Society","https://www.facebook.com/NewnhamEnvironmentalJustice/"
"23","Cambridgeshire climate emergency","Cambridgeshire climate emergency","http://camemergency.org/"
"24","Healthy Planet Cambridge","Healthy Planet Cambridge","https://www.cambridgesu.co.uk/organisation/healthyplanetcam/"
"25","Shaping Horizons","Shaping Horizons","https://www.shapinghorizons.org/"
"26","Zero Carbon Cambridge","Zero Carbon Cambridge","https://zerocarbonsoc.soc.srcf.net/"
"27","Cambridge Environmental Education Society","Cambridge Environmental Education Society","https://www.facebook.com/cambridgeenvironmentaleducation"
"28","Cambridge Carbon Literacy Training","Cambridge Carbon Literacy Training","https://www.cambridgehub.org/activities/carbon-literacy"
"29","Christ's Climate Justice Society","Christ's Climate Justice Society","https://www.facebook.com/Christs-Climate-Justice-Society-2224082597868576/?ref=page_internal"
"30","Christ's College","Christ's College",""
"31","Sir David Mackay","Sir David Mackay",""
"32","Darwin College","Darwin College","https://www.withouthotair.com/"
"33","Homerton College Environmental Society","Homerton College Environmental Society","https://www.facebook.com/HomertonEnvSoc/"
"34","Homerton College","Homerton College",""
"35","King's College","King's College",""
"36","KCL Environment Society - EcoSoc","KCL Environment Society - EcoSoc","https://www.facebook.com/KCLecosoc/"
"37","Green at Queen's","Green at Queen's","https://en-gb.facebook.com/greenQUB/"
"38","Queens' College","Queens' College",""
"39","Carbon/Energy","Carbon/Energy",""
"40","Cambridge Zero","Cambridge Zero","https://www.zero.cam.ac.uk/"
"41","UoC Sustainability Team","UoC Sustainability Team","https://www.environment.admin.cam.ac.uk/"
"42","Cambridge Carbon Footprint","Cambridge Carbon Footprint","https://cambridgecarbonfootprint.org/"
"43","Positive Investment Cambridge","Positive Investment Cambridge","http://positiveinvest.org/"
"44","CU Energy Network (CUEN)","CU Energy Network (CUEN)","http://www.cuen.org.uk/"
"45","CU Environmental Consulting Society","CU Environmental Consulting Society","https://www.cusu.co.uk/societies/directory/cuecs/"
"46","Transition Cambridge","Transition Cambridge","https://www.transitioncambridge.org/"
