Name,Nature/Biodiversity,Carbon/Energy,Food,Outreach,Finance,engage for change,Cambridge Zero,Cambridge sustainable food,Ethical Network,Cambridge Hub,CUSU Ethical Affairs,Climate and Sustainability Forum,UoC Environment and Energy Section,Living Laboratory for Sustainability,Student Switch-Off,Cambridge Carbon Footprint,Positive Investment Cambridge,CU Energy Network,CU Environmental Consulting Society,Green Impact Cambridge,Transition Cambridge,CU Marine Conservation Society,CU Wildlife Conservation Trust,CU Nature Society,CU Vegan Society,Cambridge Sustainable Food (CSF),Foodcycle,CU Foodbank Society,The Cambridge Green Challenge,Banking Environment Initiative,Science and Policy Exchange,Cambridge Development Initiative,Cambridge Conservation Forum,Cambridge Conservation Initiative,Cambridge food hub,Edible Garden,Cam valley forum,Environmental Improvement Programme,Cambridge Conservation Volunteers,CambridgeEnvironmentStrategy,Cambridge Institute for Sustainability Leadership,Greater Cambridge Greenways,cambridgereuse,circularcambridge,SCOOP Cambridge,louderthanthestorm,cambridgedoughnut,Cambridge Carbon Literacy,Warp It,Green Society of Wolfson College,Built Environment,Sustainability and Conservation Interdisciplinary Research Hub,cambridgecarbonmap,center,Reuse and recycle,Development,Infrastructure,Travel
Nature/Biodiversity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbon/Energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outreach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
engage for change,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambridge Zero,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambridge sustainable food,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethical Network,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambridge Hub,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSU Ethical Affairs,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
